participant_id,cue_file,enc_trial_count,enc_condition_id,enc_low_prediction,enc_high_prediction,enc_direction,enc_scn_type,enc_target_file,enc_target_sat,enc_acc,ret_trial_count,ret_trial_type,ret_trial_type_code,cue_recog_response,cue_recog_acc,outcome_response,outcome_memory_acc,afc_response_num,afc_response_story,afc_response_sat,afc_acc,afc_story_acc,afc_sat_acc
31,stimuli/02-01_01_02_179_Slide-09.png,59.0,2.0,0.0,0.0,1,1,stimuli/02-01_01_02_179_Slide-14.png,0.0,1.0,41.0,old,1.0,old,1,no,1.0,2.0,stimuli/02-01_01_02_179_Slide-14.png,1.0,0.0,1.0,0.0
31,stimuli/01-02_01_02_166_Slide-01.png,60.0,1.0,0.0,0.0,0,1,stimuli/01-02_01_02_166_Slide-06.png,1.0,1.0,82.0,old,1.0,old,1,no,1.0,3.0,stimuli/01-02_01_02_166_Slide-06.png,1.0,1.0,1.0,1.0
31,stimuli/02-02_01_01_147_Slide-09.png,61.0,8.0,1.0,1.0,1,0,stimuli/02-02_01_01_147_Slide-16.png,1.0,1.0,26.0,old,1.0,new,0,yes,1.0,4.0,stimuli/02-02_01_01_147_Slide-14.png,1.0,0.0,0.0,1.0
31,stimuli/01-01_01_01_02_Slide-01.png,62.0,7.0,1.0,1.0,0,0,stimuli/01-01_01_01_02_Slide-08.png,0.0,1.0,33.0,old,1.0,old,1,no,0.0,3.0,stimuli/01-01_01_01_02_Slide-08.png,1.0,0.0,1.0,0.0
31,stimuli/02-01_01_01_23_Slide-09.png,63.0,8.0,1.0,1.0,1,0,stimuli/02-01_01_01_23_Slide-16.png,1.0,1.0,29.0,old,1.0,old,1,yes,1.0,3.0,stimuli/02-01_01_01_23_Slide-16.png,1.0,1.0,1.0,1.0
31,stimuli/02-01_02_01_18_Slide-09.png,64.0,4.0,0.0,1.0,1,0,stimuli/02-01_02_01_18_Slide-16.png,0.0,1.0,23.0,old,1.0,old,1,no,0.0,1.0,stimuli/02-01_02_01_18_Slide-14.png,1.0,0.0,0.0,0.0
31,stimuli/02-01_02_02_104_Slide-09.png,,,,,,,,,,2.0,new,0.0,old,0,,,,,,,,
31,stimuli/02-01_01_02_225_Slide-09.png,,,,,,,,,,6.0,new,0.0,new,1,,,,,,,,
31,stimuli/01-02_02_01_217_Slide-01.png,,,,,,,,,,30.0,new,0.0,new,1,,,,,,,,
31,stimuli/02-02_02_02_114_Slide-09.png,,,,,,,,,,32.0,new,0.0,new,1,,,,,,,,
31,stimuli/01-01_01_02_56_Slide-01.png,,,,,,,,,,35.0,new,0.0,new,1,,,,,,,,
31,stimuli/01-01_01_02_40_Slide-01.png,,,,,,,,,,37.0,new,0.0,new,1,,,,,,,,
31,stimuli/01-02_01_02_162_Slide-01.png,,,,,,,,,,42.0,new,0.0,new,1,,,,,,,,
31,stimuli/01-01_02_02_127_Slide-01.png,,,,,,,,,,43.0,new,0.0,new,1,,,,,,,,
31,stimuli/02-02_01_02_97_Slide-09.png,,,,,,,,,,46.0,new,0.0,new,1,,,,,,,,
31,stimuli/02-01_02_02_254_Slide-09.png,,,,,,,,,,48.0,new,0.0,old,0,,,,,,,,
31,stimuli/01-01_01_02_33_Slide-01.png,,,,,,,,,,49.0,new,0.0,old,0,,,,,,,,
31,stimuli/02-02_01_02_113_Slide-09.png,,,,,,,,,,60.0,new,0.0,new,1,,,,,,,,
31,stimuli/01-02_02_01_210_Slide-01.png,,,,,,,,,,63.0,new,0.0,old,0,,,,,,,,
31,stimuli/02-02_02_02_170_Slide-09.png,,,,,,,,,,65.0,new,0.0,new,1,,,,,,,,
31,stimuli/01-02_02_01_209_Slide-01.png,,,,,,,,,,66.0,new,0.0,old,0,,,,,,,,
31,stimuli/01-01_01_01_13_Slide-01.png,,,,,,,,,,69.0,new,0.0,new,1,,,,,,,,
31,stimuli/02-01_01_02_57_Slide-09.png,,,,,,,,,,71.0,new,0.0,new,1,,,,,,,,
31,stimuli/02-02_02_01_30_Slide-09.png,,,,,,,,,,75.0,new,0.0,new,1,,,,,,,,
31,stimuli/01-01_02_01_74_Slide-01.png,,,,,,,,,,83.0,new,0.0,new,1,,,,,,,,
31,stimuli/02-01_02_01_224_Slide-09.png,,,,,,,,,,84.0,new,0.0,old,0,,,,,,,,
