onset,duration,description
2025-12-02 11:49:39.315026,0.0,prac_end
2025-12-02 11:49:46.200026,0.0,encoding_phase_starts
2025-12-02 11:49:46.218026,0.0,enc_fixation
2025-12-02 11:49:47.256026,0.0,enc_cue
2025-12-02 11:49:49.317026,0.0,enc_act1
2025-12-02 11:49:50.380026,0.0,enc_act2
2025-12-02 11:49:51.443026,0.0,enc_act3
2025-12-02 11:49:52.505026,0.0,enc_target
2025-12-02 11:49:54.498026,0.0,enc_prompt
2025-12-02 11:49:57.331026,0.0,enc_resp
2025-12-02 11:49:57.336026,0.0,enc_fixation
2025-12-02 11:49:58.381026,0.0,enc_cue
2025-12-02 11:50:00.438026,0.0,enc_act1
2025-12-02 11:50:01.494026,0.0,enc_act2
2025-12-02 11:50:02.549026,0.0,enc_act3
2025-12-02 11:50:03.605026,0.0,enc_target
2025-12-02 11:50:05.595026,0.0,enc_prompt
2025-12-02 11:50:09.129026,0.0,enc_resp
2025-12-02 11:50:09.134026,0.0,enc_fixation
2025-12-02 11:50:10.182026,0.0,enc_cue
2025-12-02 11:50:12.239026,0.0,enc_act1
2025-12-02 11:50:13.302026,0.0,enc_act2
2025-12-02 11:50:14.363026,0.0,enc_act3
2025-12-02 11:50:15.419026,0.0,enc_target
2025-12-02 11:50:17.414026,0.0,enc_prompt
2025-12-02 11:50:19.553026,0.0,enc_resp
2025-12-02 11:50:19.557026,0.0,enc_fixation
2025-12-02 11:50:20.604026,0.0,enc_cue
2025-12-02 11:50:22.662026,0.0,enc_act1
2025-12-02 11:50:23.722026,0.0,enc_act2
2025-12-02 11:50:24.779026,0.0,enc_act3
2025-12-02 11:50:25.834026,0.0,enc_target
2025-12-02 11:50:27.824026,0.0,enc_prompt
2025-12-02 11:50:30.060026,0.0,enc_resp
2025-12-02 11:50:30.065026,0.0,enc_fixation
2025-12-02 11:50:31.108026,0.0,enc_cue
2025-12-02 11:50:33.165026,0.0,enc_act1
2025-12-02 11:50:34.222026,0.0,enc_act2
2025-12-02 11:50:35.278026,0.0,enc_act3
2025-12-02 11:50:36.333026,0.0,enc_target
2025-12-02 11:50:38.323026,0.0,enc_prompt
2025-12-02 11:50:41.171026,0.0,enc_resp
2025-12-02 11:50:41.176026,0.0,enc_fixation
2025-12-02 11:50:42.226026,0.0,enc_cue
2025-12-02 11:50:44.287026,0.0,enc_act1
2025-12-02 11:50:45.350026,0.0,enc_act2
2025-12-02 11:50:46.412026,0.0,enc_act3
2025-12-02 11:50:47.475026,0.0,enc_target
2025-12-02 11:50:49.469026,0.0,enc_prompt
2025-12-02 11:50:51.448026,0.0,enc_resp
2025-12-02 11:50:51.453026,0.0,enc_fixation
2025-12-02 11:50:52.497026,0.0,enc_cue
2025-12-02 11:50:54.553026,0.0,enc_act1
2025-12-02 11:50:55.609026,0.0,enc_act2
2025-12-02 11:50:56.664026,0.0,enc_act3
2025-12-02 11:50:57.720026,0.0,enc_target
2025-12-02 11:50:59.712026,0.0,enc_prompt
2025-12-02 11:51:02.400026,0.0,enc_resp
2025-12-02 11:51:02.404026,0.0,enc_fixation
2025-12-02 11:51:03.451026,0.0,enc_cue
2025-12-02 11:51:05.507026,0.0,enc_act1
2025-12-02 11:51:06.565026,0.0,enc_act2
2025-12-02 11:51:07.626026,0.0,enc_act3
2025-12-02 11:51:08.681026,0.0,enc_target
2025-12-02 11:51:10.670026,0.0,enc_prompt
2025-12-02 11:51:13.385026,0.0,enc_resp
2025-12-02 11:51:13.390026,0.0,enc_fixation
2025-12-02 11:51:14.441026,0.0,enc_cue
2025-12-02 11:51:16.511026,0.0,enc_act1
2025-12-02 11:51:17.572026,0.0,enc_act2
2025-12-02 11:51:18.637026,0.0,enc_act3
2025-12-02 11:51:19.700026,0.0,enc_target
2025-12-02 11:51:21.691026,0.0,enc_prompt
2025-12-02 11:51:24.892026,0.0,enc_resp
2025-12-02 11:51:24.897026,0.0,enc_fixation
2025-12-02 11:51:25.942026,0.0,enc_cue
2025-12-02 11:51:27.998026,0.0,enc_act1
2025-12-02 11:51:29.055026,0.0,enc_act2
2025-12-02 11:51:30.110026,0.0,enc_act3
2025-12-02 11:51:31.166026,0.0,enc_target
2025-12-02 11:51:33.156026,0.0,enc_prompt
2025-12-02 11:51:36.968026,0.0,enc_resp
2025-12-02 11:51:36.974026,0.0,enc_fixation
2025-12-02 11:51:38.024026,0.0,enc_cue
2025-12-02 11:51:40.085026,0.0,enc_act1
2025-12-02 11:51:41.146026,0.0,enc_act2
2025-12-02 11:51:42.210026,0.0,enc_act3
2025-12-02 11:51:43.272026,0.0,enc_target
2025-12-02 11:51:45.267026,0.0,enc_prompt
2025-12-02 11:51:47.225026,0.0,enc_resp
2025-12-02 11:51:47.230026,0.0,enc_fixation
2025-12-02 11:51:48.289026,0.0,enc_cue
2025-12-02 11:51:50.359026,0.0,enc_act1
2025-12-02 11:51:51.429026,0.0,enc_act2
2025-12-02 11:51:52.498026,0.0,enc_act3
2025-12-02 11:51:53.568026,0.0,enc_target
2025-12-02 11:51:55.558026,0.0,enc_prompt
2025-12-02 11:51:57.510026,0.0,enc_resp
2025-12-02 11:51:57.515026,0.0,enc_fixation
2025-12-02 11:51:58.560026,0.0,enc_cue
2025-12-02 11:52:00.616026,0.0,enc_act1
2025-12-02 11:52:01.673026,0.0,enc_act2
2025-12-02 11:52:02.728026,0.0,enc_act3
2025-12-02 11:52:03.783026,0.0,enc_target
2025-12-02 11:52:05.773026,0.0,enc_prompt
2025-12-02 11:52:08.892026,0.0,enc_resp
2025-12-02 11:52:08.896026,0.0,enc_fixation
2025-12-02 11:52:09.943026,0.0,enc_cue
2025-12-02 11:52:11.998026,0.0,enc_act1
2025-12-02 11:52:13.053026,0.0,enc_act2
2025-12-02 11:52:14.107026,0.0,enc_act3
2025-12-02 11:52:15.164026,0.0,enc_target
2025-12-02 11:52:17.155026,0.0,enc_prompt
2025-12-02 11:52:20.301026,0.0,enc_resp
2025-12-02 11:52:20.306026,0.0,enc_fixation
2025-12-02 11:52:21.353026,0.0,enc_cue
2025-12-02 11:52:23.409026,0.0,enc_act1
2025-12-02 11:52:24.465026,0.0,enc_act2
2025-12-02 11:52:25.520026,0.0,enc_act3
2025-12-02 11:52:26.581026,0.0,enc_target
2025-12-02 11:52:28.572026,0.0,enc_prompt
2025-12-02 11:52:32.273026,0.0,enc_resp
2025-12-02 11:52:32.278026,0.0,enc_fixation
2025-12-02 11:52:33.323026,0.0,enc_cue
2025-12-02 11:52:35.378026,0.0,enc_act1
2025-12-02 11:52:36.435026,0.0,enc_act2
2025-12-02 11:52:37.491026,0.0,enc_act3
2025-12-02 11:52:38.546026,0.0,enc_target
2025-12-02 11:52:40.537026,0.0,enc_prompt
2025-12-02 11:52:43.398026,0.0,enc_resp
2025-12-02 11:52:43.404026,0.0,enc_fixation
2025-12-02 11:52:44.454026,0.0,enc_cue
2025-12-02 11:52:46.453562,0.5965202982600886,BAD_muscle
2025-12-02 11:52:46.513026,0.0,enc_act1
2025-12-02 11:52:47.569026,0.0,enc_act2
2025-12-02 11:52:48.631026,0.0,enc_act3
2025-12-02 11:52:49.688026,0.0,enc_target
2025-12-02 11:52:51.683026,0.0,enc_prompt
2025-12-02 11:52:54.245026,0.0,enc_resp
2025-12-02 11:52:54.250026,0.0,enc_fixation
2025-12-02 11:52:55.294026,0.0,enc_cue
2025-12-02 11:52:57.352026,0.0,enc_act1
2025-12-02 11:52:58.408026,0.0,enc_act2
2025-12-02 11:52:59.462026,0.0,enc_act3
2025-12-02 11:53:00.518026,0.0,enc_target
2025-12-02 11:53:02.509026,0.0,enc_prompt
2025-12-02 11:53:05.897026,0.0,enc_resp
2025-12-02 11:53:05.903026,0.0,enc_fixation
2025-12-02 11:53:06.948026,0.0,enc_cue
2025-12-02 11:53:09.004026,0.0,enc_act1
2025-12-02 11:53:10.060026,0.0,enc_act2
2025-12-02 11:53:11.116026,0.0,enc_act3
2025-12-02 11:53:12.171026,0.0,enc_target
2025-12-02 11:53:14.161026,0.0,enc_prompt
2025-12-02 11:53:16.988026,0.0,enc_resp
2025-12-02 11:53:16.993026,0.0,enc_fixation
2025-12-02 11:53:18.029026,0.0,enc_cue
2025-12-02 11:53:20.079026,0.0,enc_act1
2025-12-02 11:53:21.128026,0.0,enc_act2
2025-12-02 11:53:22.177026,0.0,enc_act3
2025-12-02 11:53:23.232026,0.0,enc_target
2025-12-02 11:53:25.223026,0.0,enc_prompt
2025-12-02 11:53:29.147026,0.0,enc_resp
2025-12-02 11:53:29.152026,0.0,enc_fixation
2025-12-02 11:53:30.198026,0.0,enc_cue
2025-12-02 11:53:32.255026,0.0,enc_act1
2025-12-02 11:53:33.310026,0.0,enc_act2
2025-12-02 11:53:34.366026,0.0,enc_act3
2025-12-02 11:53:35.425026,0.0,enc_target
2025-12-02 11:53:37.418026,0.0,enc_prompt
2025-12-02 11:53:40.425026,0.0,enc_resp
2025-12-02 11:53:40.431026,0.0,enc_fixation
2025-12-02 11:53:41.478026,0.0,enc_cue
2025-12-02 11:53:43.539026,0.0,enc_act1
2025-12-02 11:53:44.595026,0.0,enc_act2
2025-12-02 11:53:45.651026,0.0,enc_act3
2025-12-02 11:53:46.706026,0.0,enc_target
2025-12-02 11:53:48.695026,0.0,enc_prompt
2025-12-02 11:53:51.119026,0.0,enc_resp
2025-12-02 11:53:51.124026,0.0,enc_fixation
2025-12-02 11:53:52.170026,0.0,enc_cue
2025-12-02 11:53:54.227026,0.0,enc_act1
2025-12-02 11:53:55.292026,0.0,enc_act2
2025-12-02 11:53:56.353026,0.0,enc_act3
2025-12-02 11:53:57.414026,0.0,enc_target
2025-12-02 11:53:59.403026,0.0,enc_prompt
2025-12-02 11:54:01.605026,0.0,enc_resp
2025-12-02 11:54:01.610026,0.0,enc_fixation
2025-12-02 11:54:02.658026,0.0,enc_cue
2025-12-02 11:54:04.718026,0.0,enc_act1
2025-12-02 11:54:05.776026,0.0,enc_act2
2025-12-02 11:54:06.830026,0.0,enc_act3
2025-12-02 11:54:07.887026,0.0,enc_target
2025-12-02 11:54:09.882026,0.0,enc_prompt
2025-12-02 11:54:12.063026,0.0,enc_resp
2025-12-02 11:54:12.068026,0.0,enc_fixation
2025-12-02 11:54:13.117026,0.0,enc_cue
