participant_id,cue_file,enc_trial_count,enc_condition_id,enc_low_prediction,enc_high_prediction,enc_direction,enc_scn_type,enc_target_file,enc_target_sat,enc_acc,ret_trial_count,ret_trial_type,ret_trial_type_code,cue_recog_response,cue_recog_acc,outcome_response,outcome_memory_acc,afc_response_num,afc_response_story,afc_response_sat,afc_acc,afc_story_acc,afc_sat_acc
3,stimuli/01-01_01_02_39_Slide-01.png,1.0,5.0,1.0,0.0,0,1,stimuli/01-01_01_02_39_Slide-06.png,0.0,1.0,71.0,old,1.0,new,0,no,0.0,4.0,stimuli/01-01_01_02_39_Slide-06.png,1.0,0.0,1.0,0.0
3,stimuli/01-02_01_01_129_Slide-01.png,2.0,3.0,0.0,1.0,0,0,stimuli/01-02_01_01_129_Slide-08.png,1.0,1.0,27.0,old,1.0,old,1,yes,1.0,4.0,stimuli/01-02_01_01_129_Slide-08.png,1.0,1.0,1.0,1.0
3,stimuli/02-01_01_01_23_Slide-09.png,3.0,4.0,0.0,1.0,1,0,stimuli/02-01_01_01_23_Slide-16.png,0.0,1.0,61.0,old,1.0,new,0,no,0.0,2.0,stimuli/02-01_01_01_23_Slide-14.png,1.0,0.0,0.0,0.0
3,stimuli/02-01_01_02_179_Slide-09.png,4.0,6.0,1.0,0.0,1,1,stimuli/02-01_01_02_179_Slide-14.png,1.0,1.0,25.0,old,1.0,old,1,no,0.0,1.0,stimuli/02-01_01_02_179_Slide-14.png,1.0,1.0,1.0,1.0
3,stimuli/01-01_02_02_116_Slide-01.png,5.0,1.0,0.0,0.0,0,1,stimuli/01-01_02_02_116_Slide-06.png,1.0,1.0,22.0,old,1.0,old,1,no,1.0,1.0,stimuli/01-01_02_02_116_Slide-06.png,1.0,1.0,1.0,1.0
3,stimuli/02-01_02_01_140_Slide-09.png,6.0,8.0,1.0,1.0,1,0,stimuli/02-01_02_01_140_Slide-16.png,1.0,1.0,31.0,old,1.0,new,0,no,0.0,1.0,stimuli/02-01_02_01_140_Slide-14.png,1.0,0.0,0.0,1.0
3,stimuli/01-01_01_02_35_Slide-01.png,7.0,5.0,1.0,0.0,0,1,stimuli/01-01_01_02_35_Slide-06.png,0.0,1.0,11.0,old,1.0,old,1,no,0.0,4.0,stimuli/01-01_01_02_35_Slide-06.png,1.0,0.0,1.0,0.0
3,stimuli/01-01_01_02_41_Slide-01.png,8.0,5.0,1.0,0.0,0,1,stimuli/01-01_01_02_41_Slide-06.png,0.0,1.0,7.0,old,1.0,old,1,no,0.0,4.0,stimuli/01-01_01_02_41_Slide-06.png,1.0,0.0,1.0,0.0
3,stimuli/02-01_01_01_83_Slide-09.png,9.0,4.0,0.0,1.0,1,0,stimuli/02-01_01_01_83_Slide-16.png,0.0,1.0,46.0,old,1.0,old,1,no,0.0,2.0,stimuli/02-01_01_01_83_Slide-14.png,1.0,0.0,0.0,0.0
3,stimuli/02-01_02_01_14_Slide-09.png,10.0,8.0,1.0,1.0,1,0,stimuli/02-01_02_01_14_Slide-16.png,1.0,1.0,2.0,old,1.0,old,1,no,0.0,3.0,stimuli/02-01_02_01_14_Slide-14.png,1.0,0.0,0.0,1.0
