participant_id,cue_file,enc_trial_count,enc_condition_id,enc_low_prediction,enc_high_prediction,enc_direction,enc_scn_type,enc_target_file,enc_target_sat,enc_acc,ret_trial_count,ret_trial_type,ret_trial_type_code,cue_recog_response,cue_recog_acc,outcome_response,outcome_memory_acc,afc_response_num,afc_response_story,afc_response_sat,afc_acc,afc_story_acc,afc_sat_acc
14,stimuli/02-02_01_02_231_Slide-09.png,1.0,1.0,0.0,0.0,0,1,stimuli/02-02_01_02_231_Slide-14.png,1.0,1.0,68.0,old,1.0,old,1,yes,0.0,1.0,stimuli/02-02_01_02_231_Slide-14.png,1.0,1.0,1.0,1.0
14,stimuli/02-01_01_01_83_Slide-09.png,2.0,7.0,1.0,1.0,0,0,stimuli/02-01_01_01_83_Slide-16.png,0.0,1.0,2.0,old,1.0,old,1,yes,1.0,3.0,stimuli/02-01_01_01_83_Slide-16.png,0.0,1.0,1.0,1.0
14,stimuli/01-02_02_02_251_Slide-01.png,3.0,4.0,0.0,1.0,1,1,stimuli/01-02_02_02_251_Slide-08.png,0.0,1.0,69.0,old,1.0,new,0,no,0.0,1.0,stimuli/01-02_02_02_251_Slide-06.png,1.0,0.0,0.0,0.0
14,stimuli/01-01_01_02_39_Slide-01.png,4.0,8.0,1.0,1.0,1,1,stimuli/01-01_01_02_39_Slide-08.png,1.0,1.0,3.0,old,1.0,old,1,yes,1.0,2.0,stimuli/01-01_01_02_39_Slide-08.png,1.0,1.0,1.0,1.0
14,stimuli/02-02_02_01_24_Slide-09.png,5.0,3.0,0.0,1.0,0,0,stimuli/02-02_02_01_24_Slide-16.png,1.0,1.0,60.0,old,1.0,old,1,yes,1.0,4.0,stimuli/02-02_02_01_24_Slide-16.png,1.0,1.0,1.0,1.0
14,stimuli/01-01_02_02_102_Slide-01.png,6.0,4.0,0.0,1.0,1,1,stimuli/01-01_02_02_102_Slide-08.png,0.0,1.0,82.0,old,1.0,new,0,yes,1.0,2.0,stimuli/01-01_02_02_102_Slide-06.png,1.0,0.0,0.0,0.0
14,stimuli/01-01_02_02_118_Slide-01.png,7.0,4.0,0.0,1.0,1,1,stimuli/01-01_02_02_118_Slide-08.png,0.0,1.0,41.0,old,1.0,new,0,no,0.0,1.0,stimuli/01-01_02_02_118_Slide-06.png,1.0,0.0,0.0,0.0
14,stimuli/02-02_01_01_27_Slide-09.png,8.0,7.0,1.0,1.0,0,0,stimuli/02-02_01_01_27_Slide-16.png,0.0,1.0,57.0,old,1.0,new,0,no,0.0,2.0,stimuli/02-02_01_01_27_Slide-14.png,1.0,0.0,0.0,0.0
14,stimuli/01-02_02_01_197_Slide-01.png,9.0,2.0,0.0,0.0,1,0,stimuli/01-02_02_01_197_Slide-06.png,0.0,1.0,55.0,old,1.0,new,0,yes,0.0,1.0,stimuli/01-02_02_01_197_Slide-08.png,1.0,0.0,0.0,0.0
14,stimuli/02-02_02_01_16_Slide-09.png,10.0,3.0,0.0,1.0,0,0,stimuli/02-02_02_01_16_Slide-16.png,1.0,1.0,12.0,old,1.0,new,0,no,0.0,3.0,stimuli/02-02_02_01_16_Slide-14.png,0.0,0.0,0.0,0.0
